datetime,open,high,low,close,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label,date,hour,dayofweek,month,day,dayofyear
2024-10-09 14:10:00+00:00,133.21,133.585,133.03,133.49,NVDA,0.193207,0.121208,Neutral,2024-10-09,14,2,10,9,283
2024-10-09 14:20:00+00:00,133.49,133.99,133.125,133.905,NVDA,0.193207,0.121208,Neutral,2024-10-09,14,2,10,9,283
2024-10-09 14:30:00+00:00,133.905,133.975,133.17,133.375,NVDA,0.113329,-0.032127,Neutral,2024-10-09,14,2,10,9,283
2024-10-09 14:40:00+00:00,133.37,133.42,132.835,132.9,NVDA,0.113329,-0.032127,Neutral,2024-10-09,14,2,10,9,283
2024-10-09 14:50:00+00:00,132.9,132.9,132.9,132.9,NVDA,0.113329,-0.032127,Neutral,2024-10-09,14,2,10,9,283
2024-10-09 15:00:00+00:00,132.9,133.795,132.9,133.57,NVDA,0.113329,-0.032127,Neutral,2024-10-09,15,2,10,9,283
2024-10-09 15:10:00+00:00,133.57,133.675,133.17,133.4,NVDA,0.09402,0.276994,Somewhat-Bullish,2024-10-09,15,2,10,9,283
2024-10-09 15:20:00+00:00,133.4,133.42,132.925,133.145,NVDA,0.09402,0.276994,Somewhat-Bullish,2024-10-09,15,2,10,9,283
2024-10-09 15:30:00+00:00,133.15,133.425,133.11,133.15,NVDA,0.09402,0.276994,Somewhat-Bullish,2024-10-09,15,2,10,9,283
2024-10-09 15:40:00+00:00,133.15,133.24,132.61,132.825,NVDA,0.09402,0.276994,Somewhat-Bullish,2024-10-09,15,2,10,9,283
2024-10-09 15:50:00+00:00,132.825,132.955,132.545,132.73,NVDA,0.09402,0.276994,Somewhat-Bullish,2024-10-09,15,2,10,9,283
2024-10-09 16:00:00+00:00,132.73,132.775,131.87,132.33,NVDA,0.09402,0.276994,Somewhat-Bullish,2024-10-09,16,2,10,9,283
2024-10-09 16:10:00+00:00,132.35,132.35,131.465,131.555,NVDA,0.09402,0.276994,Somewhat-Bullish,2024-10-09,16,2,10,9,283
2024-10-09 16:20:00+00:00,131.56,132.32,131.505,132.315,NVDA,0.09402,0.276994,Somewhat-Bullish,2024-10-09,16,2,10,9,283
